,name,Action,Adventure,Casual,Horror,Multiplayer,Racing,RPG,Simulation,Sport,Strategy,firstReleaseDate,earlyAccess,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamUrl
2430,Cell Scientist: Beyond,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-30,False,1,6.99,6.0,2.198942179716308,100,Hobbyist,R-Next,R-Next,https://store.steampowered.com/app/1716890
2431,Cellfish,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-01,False,1096,4.99,3637.0,6.782233187370994,90,Hobbyist,BRTL Games,BRTL Games,https://store.steampowered.com/app/2814280
2432,Cellka,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-01,False,15,2.99,40.0,6.498019170849885,100,Hobbyist,Kcorbco,Kcorbco,https://store.steampowered.com/app/3154600
2433,Cellular Survival,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-30,False,1,4.99,4.0,0.0,0,Hobbyist,Second Thief Studios,Second Thief Studios,https://store.steampowered.com/app/2866850
2434,Cemetery Warrior 6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-10-15,False,942,0.0,0.0,0.6671120002918999,44,Hobbyist,Falco Software,Falco Software,https://store.steampowered.com/app/3248210
2435,Centauri's Favourite Archer,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2024-07-12,True,30,7.99,215.0,0.0,100,Hobbyist,CherryCo.Studios,CherryCo.Studios,https://store.steampowered.com/app/2239960
2436,Center Station Simulator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2024-04-05,True,8878,18.35,130736.0,107.84431538558574,90,Indie,Nightmare Phoenix,Nightmare Phoenix,https://store.steampowered.com/app/2823890
2437,Cento,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-15,False,1383,9.99,11509.0,9.469527147405412,98,Indie,Hoshimadara Lab.,Hoshimadara Lab.,https://store.steampowered.com/app/2416050
2438,Central Killing Agency,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-19,False,15,0.99,13.0,0.0,0,Hobbyist,Moonlight Productions,Moonlight Productions,https://store.steampowered.com/app/2919250
2439,Cerebral Clash,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-03-07,True,19,4.99,115.0,0.0,50,Hobbyist,Toilet Games,Toilet Games,https://store.steampowered.com/app/2683710
2440,Chadgeon: Enjoyers Edition+,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2024-06-21,False,109,0.0,0.0,3.7476020393028495,100,Hobbyist,Glassy Turtle,Team CARAVAN,https://store.steampowered.com/app/2850650
2441,Chained Runes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-10-22,False,9,6.99,56.0,33.095882244814085,100,Hobbyist,Carton 22,Carton 22,https://store.steampowered.com/app/2962290
2442,Chained Together,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2024-06-19,False,5950726,4.99,23976358.0,7.3489119039748605,89,Indie,Anegar Games,Anegar Games,https://store.steampowered.com/app/2567870
2443,Chains of Acquisition,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2024-01-26,False,7,17.99,96.0,5.199833838051408,67,Hobbyist,Omnibox Games Ltd,Eros Amor,https://store.steampowered.com/app/2095170
2444,Chains of Fury,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-16,False,401,9.99,3320.0,2.92197654205812,54,Indie,Fulqrum Publishing,Cobble Games,https://store.steampowered.com/app/1121320
2445,Chains of Judgment,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2024-05-25,False,30,6.99,132.0,3.490452490219628,100,Hobbyist,ChaniMK,ChaniMK,https://store.steampowered.com/app/2908240
2446,"Chakana, Gold of the Gods",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-07,False,183,0.0,0.0,1.8485083000066835,65,Hobbyist,Equinoxis Studios,Equinoxis Studios,https://store.steampowered.com/app/2782340
2447,Challenge Love,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2024-02-15,False,67,8.99,436.0,3.123263081205165,50,Hobbyist,AJAES,AJAES,https://store.steampowered.com/app/2668810
2448,Challenge N°1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-13,False,15,2.99,30.0,2.44773567490436,67,Hobbyist,Fakiapps,Fakiapps,https://store.steampowered.com/app/2713080
2449,Challenger's Odyssey,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2024-02-09,False,158,0.0,0.0,4.482132605202512,70,Hobbyist,tobenot,tobenot,https://store.steampowered.com/app/2778690
2450,Chamber Survival,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2024-05-02,False,49,5.99,149.0,1.0724762477880585,0,Hobbyist,daminggede,daminggede,https://store.steampowered.com/app/2943780
2451,Chamberflame,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2024-03-31,True,15,7.99,53.0,1.2201983755941637,100,Hobbyist,Jira Games,Jira Games,https://store.steampowered.com/app/2616890
2452,Chambers,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-21,False,23,3.99,190.0,1.5671868005402654,100,Hobbyist,Naama Morag Black,Saul Morag Black,https://store.steampowered.com/app/2734150
2453,Champion Road,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-19,False,141,6.99,703.0,0.735267618752164,100,Indie,SEEP,SEEP,https://store.steampowered.com/app/2698690
2454,Champion Shift,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-29,False,5177,6.99,23566.0,11.188090414750883,79,Indie,SRG Studios,SRG Studios,https://store.steampowered.com/app/2391900
2455,Champion's Chalice,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2024-02-02,False,242,9.99,1830.0,4.858343025149301,86,Hobbyist,Kairos Games LLC,Kairos Games LLC,https://store.steampowered.com/app/2375570
2456,Champy the Useless Vampire,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-02-15,False,673,7.99,4306.0,2.5655432346619667,88,Hobbyist,True Ascension,True Ascension,https://store.steampowered.com/app/2426350
2457,ChanceBall,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2024-09-26,False,263,4.99,1136.0,8.508738442945818,100,Hobbyist,Second Tempo Games,Second Tempo Games,https://store.steampowered.com/app/3128780
